t,S_t,annuity,strike,mkt price 
1,0.06792725,0.9391675,0.0646,0.002339
2,0.06789909,0.94794742,0.0656,0.002555
3,0.06786584,0.93921579,0.0658,0.002550
4,0.06741578,0.93960023,0.0660,0.002594
5,0.06696178,0.93999044,0.0659,0.002544
6,0.06782825,0.93924803,0.0659,0.002554
7,0.06736091,0.93964755,0.0659,0.002542
8,0.06671009,0.94020721,0.0660,0.002547
9,0.06688098,0.9400583,0.0661,0.002524
10,0.06749186,0.93953356,0.0662,0.002491
11,0.06783105,0.93924327,0.0663,0.002711
12,0.06826373,0.93887171,0.0661,0.002654
13,0.06753024,0.8905674,0.0661,0.002655
14,0.06762725,0.93941211,0.0661,0.002644
15,0.06707245,0.93988778,0.0663,0.002569
16,0.06755774,0.93947379,0.0662,0.002581
17,0.06724538,0.93974103,0.0664,0.002636
18,0.06836528,0.93878424,0.0664,0.002626
19,0.06838805,0.93876433,0.0666,0.002655
20,0.06817879,0.93894418,0.0664,0.002642
