expiry,1.0Y,2.0Y,3.0Y,5.0Y,10.0Y,20.0Y,25.0Y
1M,0.1883,0.1638,0.1617,0.1535,0.1448,0.1275,0.1207
3M,0.1748,0.1524,0.1547,0.1486,0.1487,0.1309,0.1239
6M,0.1810,0.1654,0.1600,0.1514,0.1474,0.1298,0.1228
9M,0.1878,0.1735,0.1639,0.1551,0.1437,0.1265,0.1198
1Y,0.1946,0.1816,0.1678,0.1587,0.1400,0.1232,0.1167
2Y,0.2164,0.1824,0.1715,0.1633,0.1362,0.1198,0.1134
3Y,0.1983,0.1798,0.1744,0.1570,0.1313,0.1155,0.1093
4Y,0.2055,0.1771,0.1657,0.1486,0.1262,0.1110,0.1051
5Y,0.2027,0.1688,0.1577,0.1402,0.1195,0.1051,0.0995
6Y,0.1963,0.1646,0.1536,0.1365,0.1164,0.1026,0.0970
7Y,0.1899,0.1604,0.1495,0.1327,0.1133,0.1001,0.0944
8Y,0.1831,0.1559,0.1453,0.1290,0.1105,0.0976,0.0921
9Y,0.1762,0.1514,0.1410,0.1251,0.1076,0.0951,0.0897
10Y,0.1694,0.1469,0.1368,0.1214,0.1048,0.0927,0.0873
12Y,0.1577,0.1392,0.1300,0.1160,0.1006,0.0883,0.0830
15Y,0.1401,0.1275,0.1198,0.1078,0.0944,0.0817,0.0765
20Y,0.1237,0.1176,0.1102,0.0982,0.0833,0.0708,0.0661
25Y,0.1010,0.0999,0.0933,0.0829,0.0704,0.0596,0.0557
30Y,0.0808,0.0834,0.0781,0.0695,0.0591,0.0502,0.0469
